Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Research: Entomology,91713,BIO,492,5,Undergraduate ,3,,10:20 am - 1:20 pm,F,Shineman Center 304,Fall2019,Lecture,Karen R  Sime,30
Research: Genomics,90410,BIO,492,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 348,Fall2019,Lecture,Christopher H  Chandler,30
Research: Molecular Ecology,91004,BIO,492,7,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 348,Fall2019,Activity,Nicholas M  Sard,30
Research:Field Ecology,93556,BIO,492,1,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Rice Creek 121,Fall2019,Lecture,Kamal I  Mohamed,30
Evolution,91180,BIO,525,2,Graduate ,3,,5:30 pm - 6:55 pm,MW,Shineman Center 185,Fall2019,Seminar,Jinyan   Guo,30
Evolution,91009,BIO,525,3,Graduate ,3,,3:00 pm - 4:25 pm,MW,Sheldon Hall 336,Fall2019,Seminar,Daniel T  Baldassarre,30
Evolution,91008,BIO,525,4,Graduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 204,Fall2019,Seminar,Michael J  McDonald,30
Evolution,92029,BIO,525,5,Graduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 178,Fall2019,Seminar,Peter A  Rosenbaum,30
Evolution,94506,BIO,525,6,Graduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 196,Fall2019,Seminar,Daniel T  Baldassarre,30
Research: Entomology,91714,BIO,592,7,Graduate ,3,,10:20 am - 1:20 pm,F,Shineman Center 304,Fall2019,Lecture,Karen R  Sime,30
Research: Genomics,90526,BIO,592,1,Graduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 348,Fall2019,Lecture,Christopher H  Chandler,30
Research: Molecular Ecology,91010,BIO,592,2,Graduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 348,Fall2019,Activity,Nicholas M  Sard,30
Business Law I,90060,BLW,280,3,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 118,Fall2019,Lecture,John W  Spring,30
Business Law I,94572,BLW,280,4,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Marano Campus Center 211,Fall2019,Lecture,John W  Spring,30
Legal&Regulatory Environ ofBus,91199,BLW,355,5,Undergraduate ,3,,5:30 pm - 6:50 pm,TR,Rich Hall 220,Fall2019,Lecture,Catherine   Sullivan,30
Legal&Regulatory Environ ofBus,90054,BLW,355,6,Undergraduate ,3,,5:30 pm - 6:55 pm,MW,Rich Hall 118,Fall2019,Lecture,John W  Spring,30
Legal&Regulatory Environ ofBus,90056,BLW,355,7,Undergraduate ,3,,7:10 pm - 8:30 pm,MW,Rich Hall 324,Fall2019,Lecture,John W  Spring,30
Legal&Regulatory Environ ofBus,91013,BLW,355,,Undergraduate ,3,,6:20 pm - 7:45 pm,MW,Rich Hall 220,Fall2019,Lecture,Lisa   Cuomo,30
Legal&Regulatory Environ ofBus,94570,BLW,355,1,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Rich Hall 220,Fall2019,Lecture,Mary E  McGowan,30
Legal&Regulatory Environ ofBus,91677,BLW,355,2,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Rich Hall 220,Fall2019,Lecture,Catherine   Sullivan,30
Legal&Regulatory Environ ofBus,90051,BLW,355,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Mary E  McGowan,30
Legal&Regulatory Environ ofBus,91676,BLW,355,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Kathryn   Wolfe,30
Legal&Regulatory Environ ofBus,93120,BLW,355,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Andrew T.  Wolfe,30
Business Law II,90057,BLW,381,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 220,Fall2019,Lecture,Mary E  McGowan,30
Introduction To Mass Media,91471,BRC,108,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Lanigan Hall 104,Fall2019,Lecture,Mary   Simone,30
Introduction To Mass Media,91553,BRC,108,1,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lanigan Hall 106,Fall2019,Lecture,Jennifer   Fogel,30
Introduction To Mass Media,92719,BRC,108,2,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 104,Fall2019,Lecture,Mary   Simone,30
Introduction To Mass Media,94682,BRC,108,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Jason Matthew  Becker,30
Soc Hist Amer Radio&TV,92964,BRC,200,4,Undergraduate ,3,,6:15 pm - 9:00 pm,M,Lanigan Hall 106A,Fall2019,Lecture,Peter E.  Hunn,30
Broadcast Performance,90225,BRC,215,5,Undergraduate ,3,,6:15 pm - 9:00 pm,W,Lanigan Hall 20,Fall2019,Lecture,Peter E.  Hunn,30
Radio Production,90227,BRC,220,6,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 20,Fall2019,Lecture,Jeffrey N  Bradbury,30
