Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Amer. Economic Hist since 1900,12640,ECO,327,2,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Mahar Hall 204,Spring2020,Lecture,Ranjit   Dighe,30
Economic Development,10206,ECO,330,3,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 102,Spring2020,Lecture,Glenn   Graham,30
Money And Banking,10208,ECO,340,4,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Mahar Hall 220,Spring2020,Lecture,Ranjit   Dighe,30
Money And Banking,10209,ECO,340,5,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Mahar Hall 220,Spring2020,Lecture,Ranjit   Dighe,30
Money And Banking,11314,ECO,340,6,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Mahar Hall 102,Spring2020,Lecture,Brian   Dempsey,30
Money And Banking,11501,ECO,340,7,Undergraduate ,3,,4:40 pm - 6:05 pm,MW,Mahar Hall 208,Spring2020,Lecture,Brian   Dempsey,30
Money And Banking,11782,ECO,340,1,Undergraduate ,3,,9:35 am - 10:55 am,TR,Mahar Hall 208,Spring2020,Lecture,Craig   Benedict,30
Money And Banking,13202,ECO,340,2,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Mahar Hall 217,Spring2020,Lecture,Craig   Benedict,30
International Trade,12643,ECO,344,3,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Mahar Hall 122,Spring2020,Lecture,Mihai   Paraschiv,30
Intnl Monetary&Finan Mgt,14220,ECO,345,4,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Mahar Hall 102,Spring2020,Lecture,Said   Atri,30
Intro to Labor Economics,11503,ECO,350,5,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 217,Spring2020,Lecture,Javad   Nosratabadi,30
Intro to Labor Economics,10212,ECO,350,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,John   Kane,30
Comparative & International ED,11991,EDU,114,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Namrata   Sharma,30
Comparative & International ED,10903,EDU,114,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Namrata   Sharma,30
HIS of EDU in US since 1865,11348,EDU,210,2,Undergraduate ,3,,9:35 am - 10:55 am,TR,Wilber 220,Spring2020,Lecture,James C  Tschudy,30
HIS of EDU in US since 1865,10735,EDU,210,3,Undergraduate ,3,,3:00 pm - 6:00 pm,W,Park Hall 212,Spring2020,Lecture,Tania   Ramalho,30
